name,description,instructor,rating,reviews,total_hours,num_of_lectures,difficulty,price,badge
Master Materialize and code 3 projects with 9 pages,"Master the latest version of Materialize and create real projects and themes while learning HTML, web design and coding",Jeppe Schaumburg Jensen,4.9,5,9 total hours,94,Beginner,149000,-
Serverless Functions with Netlify,Add Cool Features to Your Front-End Apps Without Building a Server,John Smilga,4.9,47,8 total hours,71,All Levels,149000,-
Parcel Bundler: The Complete Tutorial,"Learn Parcel Bundler from the very basics to advanced! Use Parcel with React, Vue, jQuery, Bootstrap, Express, Babel!",Viktor Pyskunov,4.9,129,3 total hours,38,All Levels,149000,Highest rated
Basic Java Programming with Eclipse,Take your first step into the world of programming with this beginner course on Java. Become a programmer today!,Programming Tut,4.9,70,1.5 total hours,16,Beginner,149000,-
Building Database Web App PHP | OOP | PDO | AJAX | MySQL,"A complete solution to learning and building a fully functional Web Application Using PHP, OOP, PDO, Bootstrap and AJAX",Paul Amissah,4.9,185,19 total hours,76,All Levels,149000,Bestseller
Create Virtual Reality Apps using React VR & React 360,In and Out of React VR and React 360 - a virtual reality technology that holds enormous potential to change the future.,A to Z Mentors,4.9,83,7 total hours,60,All Levels,149000,Bestseller
Laravel & Realtime: Build Several Realtime Apps with Laravel,"Build realtime notifications, games, chat rooms, and more realtime applications with Laravel and Websockets.","JuanD MeGon, ProgramarYa By JuanDMeGon",4.9,91,5 total hours,49,Intermediate,149000,Bestseller
"Top Web Development Bundle: Django, Ruby on Rails, Node","Learn The Three Most Popular Web Development Frameworks! Django and Python, Ruby on Rails, and Node and Javascript!",John Elder,4.9,34,11.5 total hours,124,Beginner,149000,-
*NEW* DOM 2021 Build Dynamic Websites with JavaScript Part 2,"Advanced Document Object Model (DOM) Coding. Events, bubbling, hierarchy. Become a PRO in easy steps. Course 2 of 2",Clyde Matthew,4.9,180,9.5 total hours,127,Intermediate,149000,Highest rated
Back to School Web Development and Programming Bundle,This course has 42 hours of content!,John Bura,4.9,177,44.5 total hours,779,Beginner,149000,-
Getting Started with AWS in 2021! Learn Cloud Computing!,AWS Cloud Computing for Small Business owners and people looking to get involved with tech.Wordpress/HTTPS/Storeage/More,"Austin Patkos, ZDev-9 ZDev-9",4.9,5,2.5 total hours,36,Beginner,149000,-
Learn Web Animation the Easy Way: An Intro to SVG and GSAP,Create an animated eCard with just JavaScript and SVG in record time,Siggy Works,4.9,427,3 total hours,15,All Levels,699000,Highest rated
Build Aliexpress Dropshipping Website Using Wordpress,Make professional Aliexpress Dropshipping Website using WordPress that generates Sales for absolutely :),Being Commerce,4.9,4,4.5 total hours,16,Beginner,149000,-
GraphQL for beginners with JavaScript,"A practical guide that teaches you GraphQL with JavaScript. Optimally paced, No-nonsense. Learn quickly!",James Moore,4.9,336,5.5 total hours,57,Beginner,149000,-
Create Make an Online Ecommerce Store Website: Grizzly Ridge,"Build an online ecommerce store website, learn dropshipping & SEO",Clinton Gorman,4.9,31,8 total hours,69,All Levels,149000,-
Build Wordpress Website From Scratch - Beginners Training,Learn how to convert a design into a complete wordpress website without any coding.,Ananda Projapati,4.9,7,2 total hours,6,Beginner,149000,-
React Master Class - Learn By Coding Components,Learn React step by step from basics to advanced by building UI components in simple and intuitive way + includes hooks,Rajesh Pillai,4.9,90,21.5 total hours,129,All Levels,149000,-
Ruby On Rails: Understanding Ruby and The Rails Controller,Learn Intermediate Ruby on Rails Fast! Become a Fullstack Web Developer quickly. Learn Full Stack Coding the easy way!,John Elder,4.9,49,5 total hours,63,All Levels,149000,-
The Complete PHP & MYSQL - Login System,"Learn how to create a Membership website with an Admin Dashboard, with security, data validation and hashed passwords",Telmo Sampaio,4.9,6,4 total hours,10,Intermediate,149000,-
"PHP Registration Form, Email Verification & Responsive Email","Object oriented PHP Registration & Login Form with Email Confirmation, Forgot Password & Responsive Email Template",Shakil Khan,4.9,60,13 total hours,115,All Levels,149000,-
Learning Dynamic Website Design - PHP MySQL and JavaScript,"Learn Dynamic Web Design with PHP / MySQL, AJAX, JavaScript and CSS. Course comes with Certificate of Completion.",Infinite Skills,4.9,525,12.5 total hours,125,All Levels,149000,-
Make a YouTube Clone from Scratch: JavaScript PHP and MySQL,"Learn JavaScript, PHP and MySQL by making the ultimate YouTube clone website completely from scratch!",Reece Kenney,4.9,585,18.5 total hours,194,All Levels,149000,-
Deep dive into ASP.NET MVC part 2,ASP.NET MVC part 2,Sandeep Soni,4.9,9,10.5 total hours,29,Beginner,149000,-
The Ultimate Beginner's Guide to Django 1.11,Learn how to make and publish websites with Django and Python. We'll make three complete apps and publish one online.,Nick Walter,4.9,1594,9 total hours,83,Beginner,149000,-
Build FREE Professional Online Course Website With Wordpress,How to make professional online course website using WordPress with 100% FREE resources,Being Commerce,4.9,5,4 total hours,17,All Levels,149000,-
Introduction to WAI-ARIA for Beginners,Learn how to build accessible UI components with ARIA,Stefany Newman,4.9,4,3 total hours,23,Beginner,149000,New
Coding For Beginners 2 - Get Started With Web Development!,"Learn HTML, CSS & JavaScript the friendly way - No experience required. Go from scratch to coding websites!",Applause Interactive,4.9,40,16 total hours,103,Beginner,149000,-
Chrome Extensions 7-Day Challenge By TensionX,Chrome Extensions Development Crash Course,"Volodymyr Hlukhovskyi, Vitaliy",4.9,10,1 total hour,11,Intermediate,149000,-
jQuery UI in Action: Build 12 jQuery UI Projects,"jQuery UI (User Interface) Hands-On Course!! jQuery UI Examples, Quizzes & jQuery UI Projects. jQuery UI from Scratch",Crypters Infotech,4.9,180,22.5 total hours,173,All Levels,149000,Bestseller
Intro to JavaScript APIs,"a hands-on approach how to write, use, and consume REST APIs in JavaScript",Tiffany Ford,4.9,4,4 total hours,53,Intermediate,149000,-
Build a Complete Registration and Login System using PHP MVC,"Add registration, login, remember me, account activation, password reset by email and more using the PHP MVC framework",Dave Hollingworth,4.9,597,5 total hours,106,All Levels,149000,Highest rated
Advance CSS Selectors: The Complete Guide (2021 Edition),Learn to write highly effective CSS selectors like top 10% web developers and style any website without touching HTML.,Rahul Giri,4.9,6,2.5 total hours,31,All Levels,149000,-
AWS CloudFormation Step By Step: Beginner to Intermediate,Start learning AWS CloudFormation as a beginner from an AWS certified expert. Master at Associate-level CloudFormation!,Emre Yilmaz • AWS Certified Solutions Architect - Professional • DevOps Eng.,4.9,124,6 total hours,70,Beginner,149000,-
Build a Chrome extension like Honey,Learn how to build the next billion dollar Chrome Extension,Rusty Zone,4.9,31,2 total hours,22,Beginner,149000,-
Google Assistant development with Actions on Google,Google Assistant development in Node.js with Actions on Google & DialogFlow & Firebase for Google Home & Android device,Jana Bergant,4.9,469,7.5 total hours,82,All Levels,149000,-
Next JS & Typescript with Shopify Integration - Full Guide,Learn modern Next JS(Next 10+). Code everything in Typescript and integrate with Shopify. Professional app architecture.,"Eincode by Filip Jerga, Filip Jerga",4.9,49,28 total hours,236,All Levels,149000,Highest rated
Learn Professional Web Development Skills From Scratch -2021,Gain Practical skills to become a web developer,Bluelime Learning Solutions,4.8,141,32 total hours,338,Beginner,149000,-
Bootstrap 4 Single Page Website from Scratch,Build a fully responsive modern website in less than an hour using Bootstrap 4,Laurence Svekis,4.8,66,1.5 total hours,21,Beginner,149000,-
React Hooks Tips Only the Pros Know,Learn all the ins and outs of React hooks with TypeScript,Maurice de Beijer,4.8,8,2.5 total hours,28,Intermediate,149000,-
Bootstrap: Build a modern Responsive website with bootstrap,"learn bootstrap with HTML5, CSS3, jquery and bootstrap 3 to build modern responsive website.",Rameel Gulzar,4.8,293,5 total hours,43,All Levels,149000,-
React VR - Creating Virtual Reality Apps,"Create the virtual reality apps you always wanted with ReactVR! Included: React.js, ReactVR, ES6, JavaScript, & more!",David Joseph Katz,4.8,349,3 total hours,43,All Levels,149000,Highest rated
PHP Microframeworks with Slim,Learn Slim PHP framework and build your first six projects,Chris Worfolk,4.8,25,2 total hours,63,Beginner,149000,-
RabbitMQ Python,Learn How to use RabbitMQ for establishing your messaging framework,Gulshan Bajaj,4.8,22,3.5 total hours,16,Intermediate,149000,Highest rated
Launch Your Website With GitHub Pages,Deploy your static website and frontend web development projects to the web with GitHub Pages,Kalob Taulien,4.8,7,41 total mins,15,Beginner,149000,-
One-stop Ruby on Rails: Build Web Applications from Scratch,"Master Ruby on Rails, HTML, CSS, APIs, and other web technologies by building Etsy, Yelp, and Craigslist from scratch.",Alex Yang,4.8,267,18.5 total hours,129,All Levels,149000,-
Mastering C++ Standard Library Features,Harness the power of the C++ STL and make full use of its components,Packt Publishing,4.8,416,6 total hours,28,Intermediate,149000,-
Google Script Apps Email From Spreadsheet list,Google Script Apps Google Script Apps Email From Spreadsheet list,Laurence Svekis,4.8,10,1 total hour,18,All Levels,149000,-
Laravel User Follow System - PROJECT,"Learn to create a follow up system with the best PHP Framework, Laravel","Edwin Diaz, Coding Faculty Solutions",4.8,18,1.5 total hours,13,All Levels,149000,-
Angular and NgRx - Building Real Project From Scratch,Improve your Angular and NgRx skills with this series while developing real application,Oleksandr Kocherhin,4.8,77,14.5 total hours,50,All Levels,149000,-
Django with Javascript and Ajax,create beautiful apps combining JS with Python's most famous web framework,Django Ninjas,4.8,31,6 total hours,51,Intermediate,149000,-
Front End Web Development with open source Dojo Toolkit.,The only DOJO toolkit course on this platform. Write javascript code using components of DOJO toolkit from the scratch.,Sanjay Kumar,4.8,191,8.5 total hours,65,All Levels,149000,-
"HTML, CSS & Python Django Full Stack for Web Development","Learn HTML, CSS to build responsive real world websites and become web developer with Python Django in one course.",Oak Academy,4.8,7,7 total hours,63,All Levels,149000,-
CodeIgniter Course: The Complete Guide (Step by Step),Learn to build dynamic web application with CodeIgniter. In-Depth training on developing fully functional CRUD App.,Fatah Gabrial,4.8,127,3 total hours,41,All Levels,149000,-
Create a Blog with Mezzanine CMS - The Best Django CMS,"Like WordPress, but on Python! Learn to build websites with Mezzanine, utilize its tons of features, & deploy to prod!",Travis Rodgers,4.8,66,7.5 total hours,32,Beginner,149000,-
JavaScript Developer Bootcamp in 2021 - Beginner to Expert,"Master Modern JavaScript by Building 50 Projects: Web Dev, Object Oriented & Asynchronous Programming, Game & AI Dev",Muslim Helalee,4.8,122,63.5 total hours,356,All Levels,149000,-
Learn HTML Tables,Learn to create a table using HTML5,Clyde D'Souza,4.8,13,1 total hour,15,Beginner,149000,-
Creating Plugins to Extend WordPress,Developing Custom Plugins with PHP and the WordPress API,Infinite Skills,4.8,58,4 total hours,49,All Levels,149000,-
The Complete Wordpress Plugin Development Course - 8 Plugins,Create your own custom Wordpress plugins with PHP and MySQL,"Pablo Farias Navarro, Zenva Academy",4.8,101,2.5 total hours,33,All Levels,149000,-
"Web Development with Bootstrap, Python & Django","Web development with HTML, CSS, Bootstrap 4. Build responsive websites, learn core concepts behind the Python and Django",Oak Academy,4.8,41,15 total hours,143,All Levels,149000,-
Exploring JavaScript - Scopes,Scope is one of the strongest pillar of JS & is essential to master advanced JS topics and code organisation skill.,Meher R Howji,4.8,16,2 total hours,8,All Levels,149000,-
Javascript Intermediate level 1 - Mastering the DOM,Learn to create really nice functionalies by learning the DOM in Javascript,"Edwin Diaz, Coding Faculty Solutions",4.8,567,3 total hours,31,All Levels,149000,-
Mega CSS Animation Course : 30 Projects Included,"Learn CSS Animation with unique projects (10 hover Effects ,10 Loader Animations, Character Animations and many more)",Supriyo Kundu,4.8,118,13 total hours,58,All Levels,149000,-
Divi Module development from start to finish,Make a living by developing modules for the worlds most popular premium WordPress theme,Jan Thielemann,4.8,28,11 total hours,84,Intermediate,2799000,Bestseller
9 React Projects,Learn React by making 9 different React Projects,Milos Stevic,4.8,45,6.5 total hours,12,All Levels,149000,-
Fetch Api data with React,Learn how to create a React Project that fetches api data,Telmo Sampaio,4.8,2,1 total hour,8,Intermediate,149000,-
How to Build a Java Spring Boot Web Application from Scratch,Making a Full-Stack Java Web App that Integrates with the NASA Mars Rover API,Trevor Page,4.8,37,9.5 total hours,37,Intermediate,149000,-
2D Game Development W/ Javascript & CSS3- Create Memory Game,Build a Randomized Memory Game with Timer - 2D Game Development - HTML5 & 2D CSS Animation (Transitions) - Javascript,DigiFisk (Programming is fun),4.8,33,8 total hours,52,All Levels,149000,-
